City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Puruliya,IN,82.36,broken clouds,23.3333,86.3667,Hotel Akash Ganga
622,Kingman,US,98.29,overcast clouds,35.1894,-114.053,Rodeway Inn Kingman Route 66
624,Itoman,JP,80.98,heavy intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
626,Tura,IN,80.42,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
627,Bubaque,GW,80.29,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
628,Bahia Honda,CU,80.6,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
632,Klamath Falls,US,87.87,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
633,Tutoia,BR,77.77,few clouds,-2.7619,-42.2744,Pousada Guará's
634,Namatanai,PG,83.66,light rain,-3.6667,152.4333,Seagulls Inn Namatani
635,Iracoubo,GF,78.13,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
637,Acajutla,SV,83.93,overcast clouds,13.5928,-89.8275,asi es
640,Aguadilla,PR,81.59,clear sky,18.4275,-67.1541,WSSM Surf House
644,Fukue,JP,80.33,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
646,Srivardhan,IN,81.05,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
647,Biak,ID,78.6,broken clouds,-0.9131,122.8766,Penginapan Kim
655,Nautla,MX,81.48,clear sky,20.2167,-96.7833,Casa Blanca
657,Akyab,MM,82.26,heavy intensity rain,20.15,92.9,Hotel Memory
658,Mackay,AU,78.67,clear sky,-21.15,149.2,International Lodge Motel
666,Progreso,MX,81.18,clear sky,21.2833,-89.6667,Playa Linda Hotel
668,Panaba,MX,79.72,clear sky,21.2833,-88.2667,Posada rosario
669,Darnah,LY,77.95,clear sky,32.767,22.6367,فندق الفردوس
670,Kilakarai,IN,84.42,overcast clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
673,Grants Pass,US,87.48,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
675,Kawalu,ID,79.54,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
676,Gizo,SB,83.62,few clouds,-8.103,156.8419,Imagination Island
678,Tabou,CI,75.4,light rain,4.423,-7.3528,hotêl doufoulougou
679,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
681,Takahagi,JP,84.85,scattered clouds,36.7167,140.7167,Matsushimakan
683,Anderson,US,81.09,clear sky,34.5334,-82.6499,The Bleckley Inn
687,Obihiro,JP,80.64,overcast clouds,42.9172,143.2044,Tokachi Gardens Hotel
688,Pedernales,DO,80.35,few clouds,18.0384,-71.744,Hotel Costa Marina
