City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
179,Susanville,40.4163,-120.653,58.12,20,0,1.99,US,2021-07-23 02:07:50,clear sky
180,Miandrivazo,-19.5167,45.4667,67.03,76,51,3.22,MG,2021-07-23 02:07:51,broken clouds
181,Neveklov,49.7537,14.5329,60.93,76,0,1.9,CZ,2021-07-23 02:07:51,clear sky
182,Ocos,14.5094,-92.1933,83.32,81,72,6.85,GT,2021-07-23 02:07:51,broken clouds
183,La Asuncion,11.0333,-63.8628,78.6,88,100,12.48,VE,2021-07-23 02:07:52,overcast clouds
184,Ballina,-28.8667,153.5667,62.78,65,99,12.06,AU,2021-07-23 02:07:52,light rain
185,Vila Velha,-20.3297,-40.2925,64.35,94,20,2.3,BR,2021-07-23 02:07:53,few clouds
186,Cockburn Town,21.4612,-71.1419,81.88,84,66,19.62,TC,2021-07-23 02:07:53,broken clouds
187,Ujjain,23.1833,75.7667,76.6,84,100,6.93,IN,2021-07-23 02:07:53,light rain
188,Macau,22.2006,113.5461,87.78,79,20,6.91,MO,2021-07-23 02:07:54,light rain
189,Bathsheba,13.2167,-59.5167,81.21,83,40,19.57,BB,2021-07-23 02:07:54,scattered clouds
190,Dilan,16.0879,120.5207,77.22,96,100,1.21,PH,2021-07-23 02:07:55,moderate rain
191,Fort Nelson,58.8053,-122.7002,58.24,89,100,9.53,CA,2021-07-23 02:07:55,light rain
192,Lavrentiya,65.5833,-171.0,43.45,81,100,2.33,RU,2021-07-23 02:07:56,overcast clouds
193,Sao Filipe,14.8961,-24.4956,74.12,86,11,7.65,CV,2021-07-23 02:07:56,few clouds
194,San Quintin,30.4833,-115.95,71.4,79,1,10.11,MX,2021-07-23 02:07:56,clear sky
195,Castanos,26.7833,-101.4167,82.35,67,27,4.38,MX,2021-07-23 02:07:57,scattered clouds
196,Krasnokamensk,50.0979,118.0369,73.58,73,89,8.86,RU,2021-07-23 02:07:57,overcast clouds
197,Pangnirtung,66.1451,-65.7125,46.4,87,75,10.36,CA,2021-07-23 02:07:58,broken clouds
198,Izhmorskiy,56.194,86.6414,67.33,69,0,10.09,RU,2021-07-23 02:07:58,clear sky
199,Hasaki,35.7333,140.8333,88.29,68,84,7.45,JP,2021-07-23 02:07:59,broken clouds
200,Ler,8.3018,30.1418,71.65,92,61,4.12,SS,2021-07-23 02:07:59,broken clouds
201,Faanui,-16.4833,-151.75,77.95,68,10,14.81,PF,2021-07-23 02:08:00,clear sky
202,Salym,60.0625,71.4789,71.82,76,15,9.89,RU,2021-07-23 02:08:00,few clouds
203,Humaita,-7.5061,-63.0208,79.66,46,64,2.28,BR,2021-07-23 02:08:00,broken clouds
204,Balakhta,55.38,91.6,68.2,68,4,11.16,RU,2021-07-23 02:08:01,clear sky
205,Siderno,38.2779,16.302,78.75,85,7,8.19,IT,2021-07-23 02:08:01,clear sky
206,Alofi,-19.0595,-169.9187,82.29,74,75,8.05,NU,2021-07-23 02:08:02,broken clouds
207,Saquena,-4.6667,-73.5167,73.15,73,29,2.19,PE,2021-07-23 02:08:02,scattered clouds
208,Haines Junction,60.7522,-137.5108,62.49,49,11,9.1,CA,2021-07-23 02:08:03,few clouds
209,Pirojpur,22.5667,89.9833,79.18,94,100,9.66,BD,2021-07-23 02:08:03,overcast clouds
210,Katiola,8.1333,-5.1,69.6,97,68,5.17,CI,2021-07-23 02:08:04,broken clouds
211,Padang,-0.9492,100.3543,84.25,69,46,1.88,ID,2021-07-23 02:07:49,scattered clouds
212,Mahon,39.8885,4.2658,75.76,83,0,5.75,ES,2021-07-23 02:08:04,clear sky
213,Airai,-8.9266,125.4092,74.14,24,10,2.89,TL,2021-07-23 02:08:05,clear sky
214,Rocha,-34.4833,-54.3333,49.23,78,85,7.63,UY,2021-07-23 02:08:05,overcast clouds
215,Hobart,-42.8794,147.3294,58.23,56,40,4.0,AU,2021-07-23 02:04:13,scattered clouds
216,Kamaishi,39.2667,141.8833,78.03,85,87,6.93,JP,2021-07-23 02:08:06,overcast clouds
217,Yokadouma,3.5167,15.05,69.48,97,100,2.44,CM,2021-07-23 02:08:06,overcast clouds
218,Los Llanos De Aridane,28.6585,-17.9182,69.55,84,0,20.71,ES,2021-07-23 02:08:07,clear sky
219,Cidreira,-30.1811,-50.2056,58.3,87,51,14.85,BR,2021-07-23 02:08:07,broken clouds
220,Touros,-5.1989,-35.4608,74.3,85,11,13.56,BR,2021-07-23 02:08:07,few clouds
221,Port Augusta,-32.5,137.7667,53.74,81,100,6.62,AU,2021-07-23 02:08:08,overcast clouds
222,Istok,42.7808,20.4875,60.15,77,5,4.21,XK,2021-07-23 02:08:08,clear sky
223,Lappeenranta,61.0587,28.1887,56.79,82,0,6.91,FI,2021-07-23 02:08:09,clear sky
224,Ewa Beach,21.3156,-158.0072,85.95,53,75,9.22,US,2021-07-23 02:08:09,broken clouds
225,Illapel,-31.6308,-71.1653,58.42,57,88,1.77,CL,2021-07-23 02:08:09,overcast clouds
226,Bonito,-21.1211,-56.4819,62.28,19,0,1.45,BR,2021-07-23 02:08:10,clear sky
227,Chokurdakh,70.6333,147.9167,54.72,46,1,8.59,RU,2021-07-23 02:08:10,clear sky
228,Yulara,-25.2406,130.9889,60.33,39,5,4.7,AU,2021-07-23 02:08:11,clear sky
229,Norman Wells,65.282,-126.8329,78.84,50,75,14.97,CA,2021-07-23 02:08:11,thunderstorm
230,Port Blair,11.6667,92.75,83.3,83,93,21.65,IN,2021-07-23 02:08:11,overcast clouds
231,Avarua,-21.2078,-159.775,80.65,74,75,14.97,CK,2021-07-23 02:08:12,broken clouds
232,Pafos,34.7667,32.4167,76.91,83,0,5.75,CY,2021-07-23 02:08:12,clear sky
233,Bac Lieu,9.285,105.7244,85.39,69,99,12.77,VN,2021-07-23 02:05:05,overcast clouds
234,Saint-Leu,-21.15,55.2833,65.26,64,2,2.55,RE,2021-07-23 02:08:13,clear sky
235,Gladstone,-23.85,151.25,73.78,56,75,10.36,AU,2021-07-23 02:08:13,broken clouds
236,Faya,18.3851,42.4509,57.72,85,100,6.44,SA,2021-07-23 02:08:14,overcast clouds
237,Baruun-Urt,46.6806,113.2792,73.36,55,21,11.18,MN,2021-07-23 02:08:14,few clouds
238,Wilmington,34.2257,-77.9447,81.86,88,1,0.0,US,2021-07-23 02:07:43,mist
239,Tonj,7.2737,28.6822,69.58,95,70,2.26,SS,2021-07-23 02:08:15,broken clouds
240,Komarikhinskiy,58.0979,57.1163,56.39,95,91,7.43,RU,2021-07-23 02:08:15,overcast clouds
241,Richards Bay,-28.783,32.0377,54.7,37,1,15.28,ZA,2021-07-23 02:08:16,clear sky
242,Kirensk,57.7853,108.1119,65.64,79,73,3.56,RU,2021-07-23 02:08:18,light rain
243,Kaffrine,14.1059,-15.5508,77.49,71,1,10.94,SN,2021-07-23 02:08:18,clear sky
244,Margate,51.3813,1.3862,61.7,88,1,1.01,GB,2021-07-23 02:08:18,clear sky
245,Esil,51.9556,66.4042,74.3,42,10,11.92,KZ,2021-07-23 02:08:19,clear sky
246,Izhma,65.0083,53.9113,51.57,58,98,3.49,RU,2021-07-23 02:08:19,overcast clouds
247,Clyde River,70.4692,-68.5914,35.83,100,90,8.05,CA,2021-07-23 02:08:20,mist
248,Erenhot,43.6475,111.9767,85.14,29,6,10.47,CN,2021-07-23 02:08:20,clear sky
249,Iqaluit,63.7506,-68.5145,51.53,81,90,15.99,CA,2021-07-23 02:08:21,light rain
250,Tabuk,17.4189,121.4443,86.0,68,100,3.67,PH,2021-07-23 02:08:21,overcast clouds
251,Mawlaik,23.6333,94.4167,76.6,99,100,1.88,MM,2021-07-23 02:08:21,moderate rain
252,Torbay,47.6666,-52.7314,52.57,98,100,1.01,CA,2021-07-23 02:08:22,light rain
253,Upernavik,72.7868,-56.1549,40.87,93,100,1.52,GL,2021-07-23 02:08:22,overcast clouds
254,Riohacha,11.5444,-72.9072,80.8,76,57,16.6,CO,2021-07-23 02:07:10,broken clouds
255,Westport,41.1415,-73.3579,76.75,76,90,1.01,US,2021-07-23 02:05:38,overcast clouds
256,Paamiut,61.994,-49.6678,42.01,93,100,2.64,GL,2021-07-23 02:08:23,overcast clouds
257,Kalakamati,-20.5929,27.3121,41.02,17,2,10.56,BW,2021-07-23 02:08:23,clear sky
258,Penzance,50.1186,-5.5371,67.21,75,100,19.95,GB,2021-07-23 02:08:24,overcast clouds
259,Bengkulu,-3.8004,102.2655,80.67,71,94,1.36,ID,2021-07-23 02:08:24,overcast clouds
260,Hirara,24.8,125.2833,78.66,100,75,46.04,JP,2021-07-23 02:08:25,shower rain
261,Pisco,-13.7,-76.2167,62.65,77,90,10.36,PE,2021-07-23 02:04:53,overcast clouds
262,Brae,60.3964,-1.353,51.71,78,100,6.71,GB,2021-07-23 02:08:25,overcast clouds
263,Narayangarh,30.4833,77.1333,82.81,68,89,1.83,IN,2021-07-23 02:08:26,overcast clouds
264,Xining,36.6167,101.7667,74.16,52,76,0.96,CN,2021-07-23 02:08:26,broken clouds
265,Goderich,43.7501,-81.7165,63.91,61,99,2.26,CA,2021-07-23 02:08:27,overcast clouds
266,Barreiras,-12.1528,-44.99,68.45,51,0,3.4,BR,2021-07-23 02:08:27,clear sky
267,Yerbogachen,61.2767,108.0108,71.6,58,25,3.31,RU,2021-07-23 02:08:28,scattered clouds
268,Leon,21.1167,-101.6667,68.05,73,59,8.19,MX,2021-07-23 02:08:28,broken clouds
269,Marsh Harbour,26.5412,-77.0636,82.67,75,100,7.2,BS,2021-07-23 02:08:28,overcast clouds
270,Viru,-8.4167,-78.75,63.7,75,38,1.3,PE,2021-07-23 02:08:29,scattered clouds
271,Dingle,10.9995,122.6711,84.34,74,100,20.51,PH,2021-07-23 02:08:29,light rain
272,Okhotsk,59.3833,143.3,58.6,88,100,4.68,RU,2021-07-23 02:08:30,overcast clouds
273,Maunabo,18.0072,-65.8993,82.71,94,20,12.24,PR,2021-07-23 02:08:30,few clouds
274,Plouzane,48.3833,-4.6167,71.69,77,0,8.05,FR,2021-07-23 02:05:38,clear sky
275,Upata,8.0086,-62.3989,74.19,96,100,2.84,VE,2021-07-23 02:08:31,overcast clouds
276,Ostrovnoy,68.0531,39.5131,41.45,92,100,21.14,RU,2021-07-23 02:08:31,overcast clouds
277,Saint-Joseph,-21.3667,55.6167,64.78,75,22,11.79,RE,2021-07-23 02:08:31,few clouds
278,Malinovskiy,61.1953,62.8397,56.43,98,100,9.48,RU,2021-07-23 02:08:32,light rain
279,Bereda,43.2686,-7.5406,61.57,100,100,1.16,ES,2021-07-23 02:08:32,overcast clouds
280,Vanimo,-2.6741,141.3028,81.82,84,94,4.03,PG,2021-07-23 02:08:33,overcast clouds
281,Banda Aceh,5.5577,95.3222,83.79,71,100,14.76,ID,2021-07-23 02:08:33,overcast clouds
282,Ola,59.5833,151.2833,53.51,89,100,3.78,RU,2021-07-23 02:08:34,overcast clouds
283,Amos,48.5669,-78.1162,55.18,93,59,0.67,CA,2021-07-23 02:08:34,broken clouds
284,Ambon,-3.6954,128.1814,80.74,89,40,4.61,ID,2021-07-23 02:08:34,scattered clouds
285,Timra,62.487,17.3257,55.08,58,90,14.97,SE,2021-07-23 02:08:35,overcast clouds
286,Eenhana,-17.4667,16.3333,50.72,29,0,9.64,NA,2021-07-23 02:08:35,clear sky
287,Kurayoshi,35.4333,133.8167,86.25,57,100,3.09,JP,2021-07-23 02:08:36,overcast clouds
288,Agaro,7.85,36.65,56.79,97,76,1.25,ET,2021-07-23 02:08:36,broken clouds
289,Muroto,33.2833,134.15,79.79,80,100,13.67,JP,2021-07-23 02:08:36,overcast clouds
290,Shache,38.4167,77.2406,75.06,48,2,4.52,CN,2021-07-23 02:08:37,clear sky
291,Nome,64.5011,-165.4064,51.17,71,1,18.41,US,2021-07-23 02:08:37,clear sky
292,Laguna,38.421,-121.4238,98.44,29,1,4.0,US,2021-07-23 02:08:38,clear sky
293,Mathbaria,22.2876,89.9593,79.84,92,100,3.76,BD,2021-07-23 02:08:38,moderate rain
294,Ankang,32.68,109.0172,81.28,82,100,4.61,CN,2021-07-23 02:08:39,overcast clouds
295,Chuy,-33.6971,-53.4616,49.95,78,95,6.08,UY,2021-07-23 02:06:31,overcast clouds
296,Povenets,62.8487,34.8262,50.11,90,95,8.9,RU,2021-07-23 02:08:39,overcast clouds
297,Fethiye,36.6217,29.1164,80.47,51,1,4.61,TR,2021-07-23 02:08:40,clear sky
298,Almeirim,-1.5233,-52.5817,78.19,77,100,3.42,BR,2021-07-23 02:08:40,overcast clouds
299,Mehamn,71.0357,27.8492,43.41,79,100,19.69,NO,2021-07-23 02:08:41,overcast clouds
300,Gejiu,23.306,103.1635,61.88,91,100,3.18,CN,2021-07-23 02:08:41,overcast clouds
301,Masunga,-20.6246,27.4488,40.19,17,2,9.35,BW,2021-07-23 02:08:41,clear sky
302,Labuan,5.2767,115.2417,87.96,78,96,8.84,MY,2021-07-23 02:08:42,overcast clouds
303,Longyearbyen,78.2186,15.6401,41.61,82,38,3.31,SJ,2021-07-23 02:08:42,scattered clouds
304,Sile,41.1754,29.6133,69.57,68,1,7.81,TR,2021-07-23 02:08:43,heavy intensity rain
305,Hamilton,39.1834,-84.5333,73.36,74,1,0.0,US,2021-07-23 02:08:43,clear sky
306,Mountain Home,43.133,-115.6912,88.81,13,0,14.99,US,2021-07-23 02:08:44,clear sky
307,Bikaner,28.0167,73.3,90.81,56,96,6.82,IN,2021-07-23 02:08:44,overcast clouds
308,Buala,-8.145,159.5921,84.9,70,23,6.73,SB,2021-07-23 02:08:44,few clouds
309,Fare,-16.7,-151.0167,77.58,65,10,12.88,PF,2021-07-23 02:08:45,clear sky
310,Kavaratti,10.5669,72.642,81.84,82,100,25.32,IN,2021-07-23 02:08:45,overcast clouds
311,Wamba,8.9333,8.6,70.7,96,100,2.44,NG,2021-07-23 02:08:46,overcast clouds
312,Poya,-21.35,165.15,77.67,58,1,5.12,NC,2021-07-23 02:08:46,clear sky
313,Spoleto,42.7448,12.7374,70.16,69,0,3.18,IT,2021-07-23 02:08:46,clear sky
314,Saint-Georges,12.0564,-61.7485,80.28,89,20,8.05,GD,2021-07-23 02:08:47,few clouds
315,Sorland,67.667,12.6934,49.78,75,100,11.61,NO,2021-07-23 02:08:47,overcast clouds
316,Darhan,49.4867,105.9228,72.48,64,92,4.18,MN,2021-07-23 02:08:48,overcast clouds
317,Aswan,24.0934,32.907,89.87,32,67,11.52,EG,2021-07-23 02:08:48,broken clouds
318,Vestmannaeyjar,63.4427,-20.2734,53.31,97,100,20.69,IS,2021-07-23 02:08:48,overcast clouds
319,Takoradi,4.8845,-1.7554,74.48,88,51,8.41,GH,2021-07-23 02:08:49,broken clouds
320,Frontera,26.9333,-101.45,84.33,67,42,0.4,MX,2021-07-23 02:08:50,scattered clouds
321,Puerto Madero,14.7208,-92.4215,75.4,100,40,3.44,MX,2021-07-23 02:08:50,scattered clouds
322,Farafangana,-22.8167,47.8333,64.33,90,21,6.89,MG,2021-07-23 02:08:51,few clouds
323,Srednekolymsk,67.45,153.6833,67.98,39,17,9.8,RU,2021-07-23 02:08:51,few clouds
324,Samarai,-10.6167,150.6667,79.75,80,78,11.77,PG,2021-07-23 02:08:52,broken clouds
325,Mhlume,-26.0333,31.85,46.87,68,1,3.27,SZ,2021-07-23 02:08:52,clear sky
326,Ryotsu,38.0833,138.4333,82.4,73,12,1.68,JP,2021-07-23 02:08:52,few clouds
327,La Ronge,55.1001,-105.2842,75.06,37,0,8.55,CA,2021-07-23 02:08:53,clear sky
328,Matcha,54.6335,42.3501,52.83,62,4,4.5,RU,2021-07-23 02:08:53,clear sky
329,Chardara,41.2547,67.9692,80.1,31,0,4.36,KZ,2021-07-23 02:08:54,clear sky
330,Katsuura,35.1333,140.3,87.91,68,17,6.53,JP,2021-07-23 02:08:54,few clouds
331,Nouadhibou,20.931,-17.0347,67.33,93,6,19.71,MR,2021-07-23 02:08:54,clear sky
332,Ajdabiya,30.7554,20.2263,75.83,75,0,10.63,LY,2021-07-23 02:08:55,clear sky
